S. No.,University Name,College Name,College Type,State Name,District Name,,,,,
1109,"Anna University, Chennai (Id: U-0439)",Francis Xavier Engineering College ,Affiliated College,Tamil Nadu,Tirunelveli,,,,,
1110,"Anna University, Chennai (Id: U-0439)",Ganadipathy Tulsi's Engineering College,Affiliated College,Tamil Nadu,Vellore,,,,,
1111,"Anna University, Chennai (Id: U-0439)",Ganapathy Chettiar College of Engineering and Technology," Paramakudi (Id: C-26801)""",Affiliated College,Tamil Nadu,Ramanathapuram,,,,
1112,"Anna University, Chennai (Id: U-0439)",GANESH COLLEGE OF ENGINEERING," SALEM (Id: C-45300)""",Affiliated College,Tamil Nadu,Salem,,,,
1113,"Anna University, Chennai (Id: U-0439)",Gem Business Academy ,Affiliated College,Tamil Nadu,Erode,,,,,
1114,"Anna University, Chennai (Id: U-0439)",GGR College of Engineering ,Affiliated College,Tamil Nadu,Vellore,,,,,
1115,"Anna University, Chennai (Id: U-0439)",G.K.M. College of Engineering and Technology ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1116,"Anna University, Chennai (Id: U-0439)",Global Institute of Engineering and Technology ,Affiliated College,Tamil Nadu,Vellore,,,,,
1117,"Anna University, Chennai (Id: U-0439)",Gnanamani College of Engineering ,Affiliated College,Tamil Nadu,Namakkal,,,,,
1118,"Anna University, Chennai (Id: U-0439)",Gnanamani College of Technology ,Affiliated College,Tamil Nadu,Namakkal,,,,,
1119,"Anna University, Chennai (Id: U-0439)",Gnanamani Institute of Management Studies ,Affiliated College,Tamil Nadu,Namakkal,,,,,
1120,"Anna University, Chennai (Id: U-0439)",Gnanam School of Business ,Affiliated College,Tamil Nadu,Thanjavur,,,,,
1121,"Anna University, Chennai (Id: U-0439)",Gojan School of Business and Technology,Affiliated College,Tamil Nadu,Thiruvallur,,,,,
1122,"Anna University, Chennai (Id: U-0439)",Gopal Ramalingam Memorial Engineering College ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1123,"Anna University, Chennai (Id: U-0439)",Government College of Engineering ,Affiliated College,Tamil Nadu,Tirunelveli,,,,,
1124,"Anna University, Chennai (Id: U-0439)",Government College of Engineering,Affiliated College,Tamil Nadu,Krishnagiri,,,,,
1125,"Anna University, Chennai (Id: U-0439)",Government College of Engineering ,Affiliated College,Tamil Nadu,Salem,,,,,
1126,"Anna University, Chennai (Id: U-0439)",Government College of Technology ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1127,"Anna University, Chennai (Id: U-0439)",Greentech College of Engineering for Women ,Affiliated College,Tamil Nadu,Salem,,,,,
1128,"Anna University, Chennai (Id: U-0439)",Hallmark Business School,Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1129,"Anna University, Chennai (Id: U-0439)",Happy Valley Business School ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1130,"Anna University, Chennai (Id: U-0439)",Hindusthan College of Engineering and Technology,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1131,"Anna University, Chennai (Id: U-0439)",Hindusthan Institute of Technology ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1132,"Anna University, Chennai (Id: U-0439)",Holy Angels School of Business (New) ,Affiliated College,Tamil Nadu,Perambalur,,,,,
1133,"Anna University, Chennai (Id: U-0439)",Holycross Engineering Colleges ,Affiliated College,Tamil Nadu,Thoothukkudi,,,,,
1134,"Anna University, Chennai (Id: U-0439)",HOSUR INSTITUTE OF TECHNOLOGY AND SCIENCE ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1135,"Anna University, Chennai (Id: U-0439)",Idhaya Engineering College for Women,Affiliated College,Tamil Nadu,Viluppuram,,,,,
1136,"Anna University, Chennai (Id: U-0439)",I.F.E.T. College of Engineering ,Affiliated College,Tamil Nadu,Viluppuram,,,,,
1137,"Anna University, Chennai (Id: U-0439)",Imayam College of Engineering ,Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1138,"Anna University, Chennai (Id: U-0439)",Imayam College of Information Technology ,Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1139,"Anna University, Chennai (Id: U-0439)",Immanuel Arasar J.J.College of Engineering ,Affiliated College,Tamil Nadu,Kanniyakumari,,,,,
1140,"Anna University, Chennai (Id: U-0439)",Indira Gandhi College of Engineering and Technology for Women ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1141,"Anna University, Chennai (Id: U-0439)",Indira Institute of Engineering and Technology ,Affiliated College,Tamil Nadu,Thiruvallur,,,,,
1142,"Anna University, Chennai (Id: U-0439)",Indra Ganesan College of Engineering,Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1143,"Anna University, Chennai (Id: U-0439)",Indus College of Engineering ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1144,"Anna University, Chennai (Id: U-0439)",Infant Jesus College of Engineering ,Affiliated College,Tamil Nadu,Thoothukkudi,,,,,
1145,"Anna University, Chennai (Id: U-0439)",Infant Jesus College of Engineering and Technology ,Affiliated College,Tamil Nadu,Thoothukkudi,,,,,
1146,"Anna University, Chennai (Id: U-0439)",Info Institute of Engineering ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1147,"Anna University, Chennai (Id: U-0439)",Institute of Road and Transport Technology ,Affiliated College,Tamil Nadu,Erode,,,,,
1148,"Anna University, Chennai (Id: U-0439)",JAIRUPAA COLLEGE OF ENGINEERING ,Affiliated College,Tamil Nadu,Tiruppur,,,,,
1149,"Anna University, Chennai (Id: U-0439)",James College of Engineering and Technology ,Affiliated College,Tamil Nadu,Kanniyakumari,,,,,
1150,"Anna University, Chennai (Id: U-0439)",Jansons Institute of Technology ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1151,"Anna University, Chennai (Id: U-0439)",Jawahar Engineering College ,Affiliated College,Tamil Nadu,Chennai,,,,,
1152,"Anna University, Chennai (Id: U-0439)",Jawaharlal Institute of Technology ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1153,"Anna University, Chennai (Id: U-0439)",Jaya Engineering College,Affiliated College,Tamil Nadu,Thiruvallur,,,,,
1154,"Anna University, Chennai (Id: U-0439)",Jayalakshmi Institute of Technology ,Affiliated College,Tamil Nadu,Dharmapuri,,,,,
1155,"Anna University, Chennai (Id: U-0439)",Jayamatha Engineering College ,Affiliated College,Tamil Nadu,Kanniyakumari,,,,,
1156,"Anna University, Chennai (Id: U-0439)",Jayam College of Engineering and Technology ,Affiliated College,Tamil Nadu,Dharmapuri,,,,,
1157,"Anna University, Chennai (Id: U-0439)",Jayaraj Annapackiam CSI College of Engineering ,Affiliated College,Tamil Nadu,Thoothukkudi,,,,,
1158,"Anna University, Chennai (Id: U-0439)",Jayaram College of Engineering and Technology ,Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1159,"Anna University, Chennai (Id: U-0439)",Jayaram College of Engineering and Technology (Standalone MCA Institution) ,Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1160,"Anna University, Chennai (Id: U-0439)",Jaya Suriya Engineering College ,Affiliated College,Tamil Nadu,Thiruvallur,,,,,
1161,"Anna University, Chennai (Id: U-0439)",Jay Shriram Group of Institutions ,Affiliated College,Tamil Nadu,Tiruppur,,,,,
1162,"Anna University, Chennai (Id: U-0439)",JCT College of Engineering and Technology ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1163,"Anna University, Chennai (Id: U-0439)",J E I Mathaajee College of Engineering ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1164,"Anna University, Chennai (Id: U-0439)",Jeppiaar Engineering College ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1165,"Anna University, Chennai (Id: U-0439)",Jerusalem College of Engineering ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1166,"Anna University, Chennai (Id: U-0439)",JEYARAJ CHELLATHURAI COLLEGE ,Affiliated College,Tamil Nadu,Theni,,,,,
1167,"Anna University, Chennai (Id: U-0439)",J.J. College of Engineering and Technology ,Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1168,"Anna University, Chennai (Id: U-0439)",JKK Munirajah College of Technology,Affiliated College,Tamil Nadu,Erode,,,,,
1169,"Anna University, Chennai (Id: U-0439)",J.K.K Munirajah School of Architecture,Affiliated College,Tamil Nadu,Erode,,,,,
1170,"Anna University, Chennai (Id: U-0439)",J.K.K.Nattraja College of Engineering & Technology ,Affiliated College,Tamil Nadu,Namakkal,,,,,
1171,"Anna University, Chennai (Id: U-0439)",J N N Institute of Engineering ,Affiliated College,Tamil Nadu,Thiruvallur,,,,,
1172,"Anna University, Chennai (Id: U-0439)",Joe Suresh Engineering College ,Affiliated College,Tamil Nadu,Tirunelveli,,,,,
1173,"Anna University, Chennai (Id: U-0439)",John Bosco Engineering College,Affiliated College,Tamil Nadu,Thiruvallur,,,,,
1174,"Anna University, Chennai (Id: U-0439)",J.P.College of Engineering ,Affiliated College,Tamil Nadu,Tirunelveli,,,,,
1175,"Anna University, Chennai (Id: U-0439)",Kalaignar Karunanidhi Institute of Technology ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1176,"Anna University, Chennai (Id: U-0439)",Kalaivani College of Technology ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1177,"Anna University, Chennai (Id: U-0439)",Kalasalingam Institute of Technology ,Affiliated College,Tamil Nadu,Virudhunagar,,,,,
1178,"Anna University, Chennai (Id: U-0439)",Kalsar College of Engineering ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1179,"Anna University, Chennai (Id: U-0439)",Kamaraj College of Engineering and Technology ,Affiliated College,Tamil Nadu,Virudhunagar,,,,,
1180,"Anna University, Chennai (Id: U-0439)",Kamban Engineering College ,Affiliated College,Tamil Nadu,Tiruvannamalai,,,,,
1181,"Anna University, Chennai (Id: U-0439)",Kanchi Pallavan Engineering College ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1182,"Anna University, Chennai (Id: U-0439)",KARAIKUDI INSTITUTE OF TECHNOLOGY AND KARAIKUDI INSTITUTE OF MANAGEMENT," KARAIKUDI (Id: C-45319)""",Affiliated College,Tamil Nadu,Sivaganga,,,,
1183,"Anna University, Chennai (Id: U-0439)",Karpagam College of Engineering ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1184,"Anna University, Chennai (Id: U-0439)",Karpagam Institute of Technology ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1185,"Anna University, Chennai (Id: U-0439)",Karpaga Vinayaga College of Engineering and Technology,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1186,"Anna University, Chennai (Id: U-0439)",Karpaga Vinayaga Institute of Management ,Affiliated College,Tamil Nadu,Pudukkottai,,,,,
1187,"Anna University, Chennai (Id: U-0439)",Karur College of Engineering ,Affiliated College,Tamil Nadu,Karur,,,,,
1188,"Anna University, Chennai (Id: U-0439)",Kathir College of Engineering ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1189,"Anna University, Chennai (Id: U-0439)",KCG College of Technology,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1190,"Anna University, Chennai (Id: U-0439)",KGiSL Institute of Technology ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1191,"Anna University, Chennai (Id: U-0439)",King College of Technology ,Affiliated College,Tamil Nadu,Namakkal,,,,,
1192,"Anna University, Chennai (Id: U-0439)",Kings College of Engineering ,Affiliated College,Tamil Nadu,Pudukkottai,,,,,
1193,"Anna University, Chennai (Id: U-0439)",Kings Engineering Colleg,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1194,"Anna University, Chennai (Id: U-0439)",Kingston Engineering College,Affiliated College,Tamil Nadu,Vellore,,,,,
1195,"Anna University, Chennai (Id: U-0439)",K.K.C. College of Engineering and Technology (New) ,Affiliated College,Tamil Nadu,Ariyalur,,,,,
1196,"Anna University, Chennai (Id: U-0439)",K.L.N. College of Engineering Pottapalayam," Sivagangai Dist (Id: C-26785)""",Affiliated College,Tamil Nadu,Sivaganga,,,,
1197,"Anna University, Chennai (Id: U-0439)",K.L.N. College of Information Technology, Pottapalayam," Sivagangai Dist (Id: C-26812)""",Affiliated College,Tamil Nadu,Sivaganga,,,
1198,"Anna University, Chennai (Id: U-0439)",KNOWLEDGE BUSINESS SCHOOL," SALEM (Id: C-45301)""",Affiliated College,Tamil Nadu,Salem,,,,
1199,"Anna University, Chennai (Id: U-0439)",Knowledge Institute of Technology ,Affiliated College,Tamil Nadu,Salem,,,,,
1200,"Anna University, Chennai (Id: U-0439)",K.N.S.K. College of Engineering and Technology ,Affiliated College,Tamil Nadu,Kanniyakumari,,,,,
1201,"Anna University, Chennai (Id: U-0439)",Kodaikanal Institute of Technology," Kodaikanal (Id: C-26782)""",Affiliated College,Tamil Nadu,Dindigul,,,,
1202,"Anna University, Chennai (Id: U-0439)",Kongu Engineering College ,Affiliated College,Tamil Nadu,Erode,,,,,
1203,"Anna University, Chennai (Id: U-0439)",Kongunadu College of Engineering and Technology ,Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1204,"Anna University, Chennai (Id: U-0439)",KPR Institute of Engineering and Technology,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1205,"Anna University, Chennai (Id: U-0439)",KPR School of Business ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1206,"Anna University, Chennai (Id: U-0439)",K.Ramakrishnan College of Engineering,Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1207,"Anna University, Chennai (Id: U-0439)",K.Ramakrishnan College of Technology(New),Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1208,"Anna University, Chennai (Id: U-0439)",Krishnaswamy College of Engineering,Affiliated College,Tamil Nadu,Cuddalore,,,,,
1209,"Anna University, Chennai (Id: U-0439)",KRS College of Engineering,Affiliated College,Tamil Nadu,Tiruvannamalai,,,,,
1210,"Anna University, Chennai (Id: U-0439)",K.S.K College of Engineering and Technology (New),Affiliated College,Tamil Nadu,Thanjavur,,,,,
1211,"Anna University, Chennai (Id: U-0439)",K.S.Rangasamy College of Technology ,Affiliated College,Tamil Nadu,Namakkal,,,,,
1212,"Anna University, Chennai (Id: U-0439)",K S R College of Engineering ,Affiliated College,Tamil Nadu,Namakkal,,,,,
1213,"Anna University, Chennai (Id: U-0439)",KSR INSTITUTE FOR ENGINEERING AND TECHNOLOGY," NAMAKKAL (Id: C-45295)""",Affiliated College,Tamil Nadu,Namakkal,,,,
1214,"Anna University, Chennai (Id: U-0439)",KTVR Knowledge Park for Engineering & Technology ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1215,"Anna University, Chennai (Id: U-0439)",Kumaraguru college of Technology ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1216,"Anna University, Chennai (Id: U-0439)",KUMARAN INSTITUTE OF TECHNOLOGY ,Affiliated College,Tamil Nadu,Chennai,,,,,
1217,"Anna University, Chennai (Id: U-0439)",Kurinji College of Engineering and Technology ,Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1218,"Anna University, Chennai (Id: U-0439)",KV Institute of Management and Information Studies ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1219,"Anna University, Chennai (Id: U-0439)",Lakshmi Chand Rajani College of Engineering and Technology ,Affiliated College,Tamil Nadu,Thiruvallur,,,,,
1220,"Anna University, Chennai (Id: U-0439)",Latha Mathavan Engineering College," Madurai (Id: C-26797)""",Affiliated College,Tamil Nadu,Madurai,,,,
1221,"Anna University, Chennai (Id: U-0439)",Lord Ayyappa Institute of Engineering and Technology ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1222,"Anna University, Chennai (Id: U-0439)",Lord Jagannath College of Engineering and Technology ,Affiliated College,Tamil Nadu,Kanniyakumari,,,,,
1223,"Anna University, Chennai (Id: U-0439)",Lord Venkateshwara Engineering College ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1224,"Anna University, Chennai (Id: U-0439)",Loyola-ICAM College of Engineering and Technology ,Affiliated College,Tamil Nadu,Chennai,,,,,
1225,"Anna University, Chennai (Id: U-0439)",Loyola Institute of Technology ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1226,"Anna University, Chennai (Id: U-0439)",Loyola Institute of Technology and Science ,Affiliated College,Tamil Nadu,Kanniyakumari,,,,,
1227,"Anna University, Chennai (Id: U-0439)",Maamallan Institute of Technology ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1228,"Anna University, Chennai (Id: U-0439)",Madha Engineering College,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1229,"Anna University, Chennai (Id: U-0439)",Madha Institute of Engineering & Technology ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1230,"Anna University, Chennai (Id: U-0439)",Madras Institute of Technology Campus,Constituent / University College,Tamil Nadu,Chennai,,,,,
1231,"Anna University, Chennai (Id: U-0439)",Madurai Institute of Engineering and Technology," Sivagangai (Id: C-26793)""",Affiliated College,Tamil Nadu,Sivaganga,,,,
1232,"Anna University, Chennai (Id: U-0439)",MADURAI SCHOOL OF MANAGEMENT ,Affiliated College,Tamil Nadu,Madurai,,,,,
1233,"Anna University, Chennai (Id: U-0439)",Magna College of Engineering ,Affiliated College,Tamil Nadu,Thiruvallur,,,,,
1234,"Anna University, Chennai (Id: U-0439)",Maha Bharathi Engineering College ,Affiliated College,Tamil Nadu,Viluppuram,,,,,
1235,"Anna University, Chennai (Id: U-0439)",Mahakavi Bharathiyar College of Engineering and Technology,Affiliated College,Tamil Nadu,Tirunelveli,,,,,
1236,"Anna University, Chennai (Id: U-0439)",Mahalakshmi Engineering College (New) (Id: C-25065),Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1237,"Anna University, Chennai (Id: U-0439)",Maharaja Engineering College (Id: C-36998),Affiliated College,Tamil Nadu,Tiruppur,,,,,
1238,"Anna University, Chennai (Id: U-0439)",Maharaja Engineering College for Women (Id: C-36965),Affiliated College,Tamil Nadu,Erode,,,,,
1239,"Anna University, Chennai (Id: U-0439)",Maharaja Institute of Technology (Id: C-37007),Affiliated College,Tamil Nadu,Coimbatore,,,,,
1240,"Anna University, Chennai (Id: U-0439)",Maharaja Prithvi Engineering College (Id: C-37071),Affiliated College,Tamil Nadu,Tiruppur,,,,,
1241,"Anna University, Chennai (Id: U-0439)",Mahath Amma Institute of Engineering and Technology (Id: C-25005),Affiliated College,Tamil Nadu,Pudukkottai,,,,,
1242,"Anna University, Chennai (Id: U-0439)",Mahendra College of Engineering (Id: C-37074),Affiliated College,Tamil Nadu,Salem,,,,,
1243,"Anna University, Chennai (Id: U-0439)",Mahendra Engineering College (Id: C-37054),Affiliated College,Tamil Nadu,Namakkal,,,,,
1244,"Anna University, Chennai (Id: U-0439)",Mahendra Engineering College for Women (Id: C-36978),Affiliated College,Tamil Nadu,Namakkal,,,,,
1245,"Anna University, Chennai (Id: U-0439)",Mahendra Institute of Engineering and Technology (Id: C-36952),Affiliated College,Tamil Nadu,Namakkal,,,,,
1246,"Anna University, Chennai (Id: U-0439)",Mahendra Institute of Technology (Id: C-37004),Affiliated College,Tamil Nadu,Namakkal,,,,,
1247,"Anna University, Chennai (Id: U-0439)",Mailam Engineering College (Id: C-16468),Affiliated College,Tamil Nadu,Viluppuram,,,,,
1248,"Anna University, Chennai (Id: U-0439)",M.A.M. B. School(New) (Id: C-25064),Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1249,"Anna University, Chennai (Id: U-0439)",M.A.M. College of Engineering (Id: C-25012),Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1250,"Anna University, Chennai (Id: U-0439)",M.A.M. College of Engineering and Technology (Id: C-25045),Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1251,"Anna University, Chennai (Id: U-0439)",M.A.M. School Architecture (New) (Id: C-25067),Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1252,"Anna University, Chennai (Id: U-0439)",M.A.M. School of Engineering (New) (Id: C-25007),Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1253,"Anna University, Chennai (Id: U-0439)",M.A.R. College of Engineering and Technology (Id: C-25042),Affiliated College,Tamil Nadu,Pudukkottai,,,,,
1254,"Anna University, Chennai (Id: U-0439)",Mar Ephraem College of Engineering and Technology (Id: C-27039),Affiliated College,Tamil Nadu,Kanniyakumari,,,,,
1255,"Anna University, Chennai (Id: U-0439)",Maria College of Engineering and Technology (Id: C-27028),Affiliated College,Tamil Nadu,Kanniyakumari,,,,,
1256,"Anna University, Chennai (Id: U-0439)",Marthandam College of Engineering and Technology (Id: C-27057),Affiliated College,Tamil Nadu,Kanniyakumari,,,,,
1257,"Anna University, Chennai (Id: U-0439)",McGan's Ooty School of Architecture (Id: C-36933),Affiliated College,Tamil Nadu,The Nilgiris,,,,,
1258,"Anna University, Chennai (Id: U-0439)",MEASI Academy of Architecture (Id: C-16489),Affiliated College,Tamil Nadu,Chennai,,,,,
1259,"Anna University, Chennai (Id: U-0439)",Meenaakshi Ramaswamy Engineering College (Id: C-25063),Affiliated College,Tamil Nadu,Ariyalur,,,,,
1260,"Anna University, Chennai (Id: U-0439)",Meenakshi College of Engineering (Id: C-16551),Affiliated College,Tamil Nadu,Chennai,,,,,
1261,"Anna University, Chennai (Id: U-0439)",Meenakshi Sundararajan Engineering College (Id: C-16480),Affiliated College,Tamil Nadu,Chennai,,,,,
1262,"Anna University, Chennai (Id: U-0439)",Mepco Schlenk Engineering College (Id: C-27058),Affiliated College,Tamil Nadu,Virudhunagar,,,,,
1263,"Anna University, Chennai (Id: U-0439)",M.E.T. Engineering College (Id: C-27046),Affiliated College,Tamil Nadu,Kanniyakumari,,,,,
1264,"Anna University, Chennai (Id: U-0439)",Michael Institute of Management," Madurai (Id: C-26805)""",Affiliated College,Tamil Nadu,Madurai,,,,
1265,"Anna University, Chennai (Id: U-0439)",M.I.E.T. Engineering College (Id: C-25046),Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1266,"Anna University, Chennai (Id: U-0439)",Misrimal Navajee Munoth Jain Engineering College (Id: C-16488),Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1267,"Anna University, Chennai (Id: U-0439)",MISRIMAL NAVAJEE MUNOTH JAIN SCHOOL OF ARCHITECTURE (Id: C-48250),Affiliated College,Tamil Nadu,Chennai,,,,,
1268,"Anna University, Chennai (Id: U-0439)",M.Kumarasamy College of Engineering (Id: C-37059),Affiliated College,Tamil Nadu,Erode,,,,,
1269,"Anna University, Chennai (Id: U-0439)",M.K. UNIVERSITY COLLEGE," KOTTUR (Id: C-36570)""",Affiliated College,Tamil Nadu,Theni,,,,
1270,"Anna University, Chennai (Id: U-0439)",M.N.S.K. College of Engineering (Id: C-25049),Affiliated College,Tamil Nadu,Pudukkottai,,,,,
1271,"Anna University, Chennai (Id: U-0439)",Mohamed Sathak A.J. Academy of Architecture (Id: C-16578),Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1272,"Anna University, Chennai (Id: U-0439)",Mohamed Sathak A.J. College of Engineering (Id: C-16571),Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1273,"Anna University, Chennai (Id: U-0439)",Mohamed Sathak Engineering College," Kilakarai (Id: C-26795)""",Affiliated College,Tamil Nadu,Ramanathapuram,,,,
1274,"Anna University, Chennai (Id: U-0439)",Mookambigai College of Engineering (Id: C-25032),Affiliated College,Tamil Nadu,Pudukkottai,,,,,
1275,"Anna University, Chennai (Id: U-0439)",Mother Terasa College of Engineering and Technology (Id: C-25069),Affiliated College,Tamil Nadu,Pudukkottai,,,,,
1276,"Anna University, Chennai (Id: U-0439)",Mount Zion College of Engineering and Technology (Id: C-25024),Affiliated College,Tamil Nadu,Pudukkottai,,,,,
1277,"Anna University, Chennai (Id: U-0439)",M.P.Nachimuthu M.Jaganathan Engineering College (Id: C-36960),Affiliated College,Tamil Nadu,Erode,,,,,
1278,"Anna University, Chennai (Id: U-0439)",M.R.K. Institute of Technology (Id: C-25043),Affiliated College,Tamil Nadu,Cuddalore,,,,,
1279,"Anna University, Chennai (Id: U-0439)",Muthayammal Engineering College (Id: C-36954),Affiliated College,Tamil Nadu,Namakkal,,,,,
1280,"Anna University, Chennai (Id: U-0439)",MUTHAYAMMAL ENGINEERING COLLEGE (MCA PROGRAMME)," NAMAKKAL (Id: C-45296)""",Affiliated College,Tamil Nadu,Namakkal,,,,
1281,"Anna University, Chennai (Id: U-0439)",MUTHAYAMMAL TECHNICAL CAMPUS," NAMAKKAL (Id: C-45297)""",Affiliated College,Tamil Nadu,Namakkal,,,,
1282,"Anna University, Chennai (Id: U-0439)",NALANDA SCHOOL OF BUSINESS (Id: C-48279),Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1283,"Anna University, Chennai (Id: U-0439)",NALANDA SCHOOL OF BUSINESS," TRICHY (Id: C-46106)""",Affiliated College,Tamil Nadu,Tiruchirappalli,,,,
1284,"Anna University, Chennai (Id: U-0439)",Nandha College of Technology (Id: C-37038),Affiliated College,Tamil Nadu,Erode,,,,,
1285,"Anna University, Chennai (Id: U-0439)",Nandha Engineering College (Id: C-36958),Affiliated College,Tamil Nadu,Erode,,,,,
1286,"Anna University, Chennai (Id: U-0439)",Narasu's Sarathy Institute of Technology (Id: C-37026),Affiliated College,Tamil Nadu,Salem,,,,,
1287,"Anna University, Chennai (Id: U-0439)",Narayana Guru College of Engineering (Id: C-27062),Affiliated College,Tamil Nadu,Kanniyakumari,,,,,
1288,"Anna University, Chennai (Id: U-0439)",National College of Engineerings (Id: C-27053),Affiliated College,Tamil Nadu,Tirunelveli,,,,,
1289,"Anna University, Chennai (Id: U-0439)",National Engineering College (Id: C-27089),Affiliated College,Tamil Nadu,Thoothukkudi,,,,,
1290,"Anna University, Chennai (Id: U-0439)",Nehru Institute of Engineering and Technology (Id: C-37025),Affiliated College,Tamil Nadu,Coimbatore,,,,,
1291,"Anna University, Chennai (Id: U-0439)",Nehru Institute of Information Technology and Management (Id: C-37037),Affiliated College,Tamil Nadu,Coimbatore,,,,,
1292,"Anna University, Chennai (Id: U-0439)",Nehru Institute of Management Studies (Id: C-36962),Affiliated College,Tamil Nadu,Coimbatore,,,,,
1293,"Anna University, Chennai (Id: U-0439)",New Prince Shri Bhavani College of Engineering and Technology (Id: C-16470),Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1294,"Anna University, Chennai (Id: U-0439)",NIGHTINGALE INSTITUTE OF TECHNOLOGY (Id: C-48258),Affiliated College,Tamil Nadu,Coimbatore,,,,,
1295,"Anna University, Chennai (Id: U-0439)",N.P.R. College of Engineering and Technology, Natham Village," Dindigul (Id: C-26811)""",Affiliated College,Tamil Nadu,Dindigul,,,
1296,"Anna University, Chennai (Id: U-0439)",N.R. SCHOOL OF ARCHITECTURE," COIMBATORE (Id: C-45286)""",Affiliated College,Tamil Nadu,Coimbatore,,,,
1297,"Anna University, Chennai (Id: U-0439)",N.S.N COLLEGE OF ENGINEERING AND TECHNOLOGY," KARUR (Id: C-45292)""",Affiliated College,Tamil Nadu,Karur,,,,
1298,"Anna University, Chennai (Id: U-0439)",OAS Institute of Technology and Management Group of Institutions (New) (Id: C-25036),Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1299,"Anna University, Chennai (Id: U-0439)",Odaiaappa Engineering College," Theni (Id: C-26809)""",Affiliated College,Tamil Nadu,Theni,,,,
1300,"Anna University, Chennai (Id: U-0439)",OOA-MAVMM SCHOOL OF MANAGEMENT," MADURAI (Id: C-45369)""",Affiliated College,Tamil Nadu,Madurai,,,,
1301,"Anna University, Chennai (Id: U-0439)",Oxford College of Engineering (Id: C-16558),Affiliated College,Tamil Nadu,Tiruvannamalai,,,,,
1302,"Anna University, Chennai (Id: U-0439)",Oxford Engineering College (Id: C-25057),Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
